nltk,razdel,segtok,pymorphy,spacy,stanza,moses,ufal
казнь,казнь,простая,казнь,польза,это,брошу,это
хуже,хуже,алчность,хуже,от,доказать,два,доказать
или,или,к,или,того,людям,миллиона,людям
лучше,лучше,деньгам,лучше,",",",",?,","
пожизненного,пожизненного,...,пожизненного,что,что,Может,что
заключения,заключения,Далее,заключения,юрист,смертная,ли,смертная
?,?,вспоминал,?,потерял,казнь,это,казнь
Нет,Нет,он,Нет,пятнадцать,хуже,доказать,хуже
и,и,о,и,лет,или,людям,или
нет,нет,том,нет,жизни,лучше,",",лучше
.,.,",",.,",",пожизненного,что,пожизненного
Вздор,Вздор,что,Вздор,а,заключения,смертная,заключения
и,и,произошло,и,я,?,казнь,?
бессмыслица,бессмыслица,после,бессмыслица,брошу,Нет,хуже,Нет
.,.,описанного,.,два,и,или,и
С,С,вечера.,С,миллиона,нет,лучше,нет
моей,моей,Решено,моей,?,.,пожизненного,.
стороны,стороны,было,стороны,Может,Вздор,заключения,Вздор
то,то,",",то,ли,и,?,и
была,была,что,была,это,бессмыслица,Нет,бессмыслица
прихоть,прихоть,юрист,прихоть,доказать,.,и,.
сытого,сытого,будет,сытого,людям,С,нет,С
человека,человека,отбывать,человека,",",моей,.,моей
",",",",свое,",",что,стороны,Вздор,стороны
а,а,заключение,а,смертная,то,и,то
со,со,под,со,казнь,была,бессмыслица,была
стороны,стороны,строжайшим,стороны,хуже,прихоть,.,прихоть
юриста,юриста,надзором,юриста,или,сытого,С,сытого
—,—,в,—,лучше,человека,моей,человека
простая,простая,одном,простая,пожизненного,",",стороны,","
алчность,алчность,из,алчность,заключения,а,то,а
к,к,флигелей,к,?,со,была,со
деньгам,деньгам,",",деньгам,Нет,стороны,прихоть,стороны
...,...,построенных,.,и,юриста,сытого,юриста
Далее,Далее,в,.,нет,—,человека,—
